strikePrice,expiryDate,underlying,identifier,pe_openInterest,pe_changeinOpenInterest,pe_pchangeinOpenInterest,pe_totalTradedVolume,pe_impliedVolatility,pe_lastPrice,pe_change,pe_pChange,pe_totalBuyQuantity,pe_totalSellQuantity,pe_bidQty,pe_bidprice,pe_askQty,pe_askPrice,pe_underlyingValue,ce_openInterest,ce_changeinOpenInterest,ce_pchangeinOpenInterest,ce_totalTradedVolume,ce_impliedVolatility,ce_lastPrice,ce_change,ce_pChange,ce_totalBuyQuantity,ce_totalSellQuantity,ce_bidQty,ce_bidprice,ce_askQty,ce_askPrice,ce_underlyingValue
23450,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE23450.00,5001,2869,134.56848030018762,179358,22.56,28,-27.65,-49.685534591194966,28425,35775,1125,27.9,825,28.65,24346.7,77,-11,-12.5,69,0,884.7,-1.8999999999999773,-0.21430182720505045,2475,2550,825,879.55,825,937.25,24346.7
23500,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE23500.00,68730,23304,51.3010170387003,836096,22.09,30.25,-28.6,-48.598130841121495,245250,223575,600,30.25,675,30.9,24346.7,6562,-561,-7.875894988066825,8313,0,851.7,-53.14999999999998,-5.8739017516715455,13575,5925,75,845.9,525,854.85,24346.7
23550,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE23550.00,4590,2646,136.11111111111111,203491,21.58,32.8,-31.050000000000004,-48.62960062646829,24600,26850,600,32.4,225,33.05,24346.7,214,2,0.9433962264150944,160,0,800,-15.549999999999955,-1.906688737661695,3150,3675,375,748.15,600,812.35,24346.7
23600,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE23600.00,26119,6414,32.5501141842172,441870,21.09,35.4,-34.050000000000004,-49.028077753779705,42750,49950,7350,35,975,35.6,24346.7,1192,-126,-9.559939301972685,2421,0,747.7,-59.34999999999991,-7.3539433740164695,4200,3975,75,750.65,150,758.85,24346.7
23650,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE23650.00,7980,5212,188.29479768786126,241139,20.56,38.2,-36.599999999999994,-48.93048128342245,24225,23850,675,37.55,975,38.45,24346.7,172,7,4.242424242424242,722,0,695.7,-26.899999999999977,-3.7226681428176,1875,2550,300,703.6,150,716.25,24346.7
23700,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE23700.00,31355,7945,33.938487825715505,539992,20.13,41.95,-38.599999999999994,-47.920546244568584,45675,88125,150,41,150,41.55,24346.7,1875,-133,-6.623505976095617,3544,0,649.7,-81.34999999999991,-11.127829833800686,4950,5550,150,656.7,150,667.4,24346.7
23750,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE23750.00,6216,3471,126.44808743169399,300558,19.52,44.85,-43.35,-49.14965986394558,36825,29850,675,44.5,975,45.1,24346.7,257,31,13.716814159292035,339,0,599.1,-42.10000000000002,-6.565814098565194,1650,1650,75,606.75,150,654.7,24346.7
23800,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE23800.00,36299,3605,11.026488040619073,760102,19.12,49.75,-43.5,-46.64879356568365,160950,158925,675,48.25,1275,49.15,24346.7,3430,-177,-4.907125034654838,11924,0,564.5,-68.89999999999998,-10.877802336596144,18450,3525,450,564.8,150,570.1,24346.7
23850,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE23850.00,8799,3169,56.287744227353464,349808,18.5,52.9,-48.800000000000004,-47.984267453294,27450,66450,150,52.9,375,53.25,24346.7,320,75,30.612244897959183,1517,0,518.4,-60.55000000000007,-10.458588824596262,6900,4125,300,518.9,225,530.4,24346.7
23900,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE23900.00,22296,6591,41.96752626552053,685739,17.99,58.5,-51.7,-46.91470054446461,51750,81300,600,58,300,58.5,24346.7,2162,-793,-26.835871404399324,10969,0,474.5,-84.29999999999995,-15.085898353614882,8850,5025,300,474.55,150,484,24346.7
23950,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE23950.00,10691,6441,151.5529411764706,452165,17.51,64.5,-56.95,-46.8917249897077,28725,52350,75,63.85,150,64.65,24346.7,890,130,17.105263157894736,5758,0,432.7,-73.05000000000001,-14.443895205140883,112725,2325,75,432.3,150,436.4,24346.7
24000,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE24000.00,90690,30125,49.73994881532238,2139531,17.02,71.25,-59.150000000000006,-45.36042944785276,373950,689250,750,71.25,75,72,24346.7,28619,-1299,-4.341867771909887,112726,7.57,391,-89.55000000000001,-18.63489751326605,84150,37275,150,388.2,75,394.35,24346.7
24050,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE24050.00,9631,4939,105.26427962489343,524545,16.62,79.7,-61.249999999999986,-43.455125931181264,28725,56775,300,79.65,150,80.45,24346.7,1927,1078,126.97290930506479,16976,8.85,350.8,-92.05000000000001,-20.785819126114937,20775,4425,150,348.9,150,353.2,24346.7
24100,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE24100.00,27328,9012,49.202882725485914,1007953,16.24,89.45,-63.8,-41.63132137030995,81900,182775,75,89.45,150,90.5,24346.7,4699,-1087,-18.78672658140339,78442,9.32,310.85,-94.29999999999995,-23.275330124645183,31125,17400,75,308.9,150,312,24346.7
24150,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE24150.00,10907,5678,108.5867278638363,648529,15.98,101.9,-66.69999999999999,-39.561091340450766,43875,59775,150,100.8,75,101.9,24346.7,2907,1395,92.26190476190476,63187,9.37,270.6,-88.54999999999995,-24.655436447166913,35400,4650,150,270.35,150,273,24346.7
24200,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE24200.00,41997,14998,55.55020556316901,1562038,15.69,115.4,-66.65,-36.61082120296622,102975,308625,150,114.3,600,115.4,24346.7,15450,245,1.6113120683985531,371329,9.8,234.3,-100.30000000000001,-29.976090854751945,50475,60825,150,234.5,225,237,24346.7
24250,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE24250.00,16248,8922,121.78542178542179,1065282,15.5,131.85,-71,-35.00123243776189,60525,131100,150,130,225,131.5,24346.7,9368,5783,161.3110181311018,387387,9.77,201.65,-86.9,-30.116097730029455,43800,44775,600,201,225,203.25,24346.7
24300,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE24300.00,63749,24042,60.548517893570406,2668462,15.17,148.4,-69.04999999999998,-31.75442630489767,190650,411375,150,148.4,750,150.15,24346.7,38424,8454,28.20820820820821,1607640,9.96,171.9,-91.74999999999997,-34.799924141854724,239100,253875,150,170.75,1425,171.9,24346.7
